"objectid","poi_id","kategorie","name","anzahl_pp","markierung","sicherheit","dach","signalisation","bemerkung","gebuehr","oeffentlicher_grund","geometry"
"104381","vap104381","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2687171.5 1250400.8)"
"4175","vap4175","Zweirad","Velo","75","","","","","","0","öffentlicher Grund","POINT (2682526 1246405.8)"
"4172","vap4172","Zweirad","Velo","50","","","","","","0","öffentlicher Grund","POINT (2682901 1246238)"
"104763","vap104763","Zweirad","Velo","48","","","","","2 Standorte","0","öffentlicher Grund","POINT (2680818.8 1248679.2)"
"105050","vap105050","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2681326.2 1249630)"
"23218","vap23218","Zweirad","Velo","23","","","","","","0","öffentlicher Grund","POINT (2680035.5 1246802.6)"
"23213","vap23213","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2680061.8 1246706.5)"
"22904","vap22904","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2679862.2 1246711)"
"22903","vap22903","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2679829.5 1246673)"
"22902","vap22902","Zweirad","Velo","35","","","","","","0","öffentlicher Grund","POINT (2679927 1246658.1)"
"22901","vap22901","Zweirad","Velo","15","","","","","","0","öffentlicher Grund","POINT (2679937.5 1246835.5)"
"104518","vap104518","Zweirad","Velo","133","","","","","","0","öffentlicher Grund","POINT (2679655.2 1249145.1)"
"105044","vap105044","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2681310.5 1246280.6)"
"104934","vap104934","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2683616.2 1252943.6)"
"104932","vap104932","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2683708.8 1252873.2)"
"104605","vap104605","Zweirad","Velo","35","","","","","","0","öffentlicher Grund","POINT (2683691.5 1251952.6)"
"104328","vap104328","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2680312 1248747.6)"
"13443","vap13443","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2683827 1248544)"
"13442","vap13442","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2683851.5 1248530.5)"
"20978","vap20978","Zweirad","Velo","14","","","","","","0","öffentlicher Grund","POINT (2683148.2 1247485)"
"20977","vap20977","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2683182.5 1247440.2)"
"20651","vap20651","Zweirad","Velo","15","","","","","beim Theater","0","öffentlicher Grund","POINT (2683744.2 1246819.2)"
"20649","vap20649","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2679981.8 1247680.8)"
"16375","vap16375","Zweirad","Velo","40","","","","","","0","öffentlicher Grund","POINT (2680619 1251558.4)"
"16374","vap16374","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2680799.2 1251494.8)"
"20326","vap20326","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2683646.2 1248123.4)"
"104329","vap104329","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2680345.5 1248735.8)"
"104885","vap104885","Zweirad","Velo","7","","","","","","0","öffentlicher Grund","POINT (2685010.8 1246950.5)"
"20017","vap20017","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2681065.2 1249025.8)"
"20016","vap20016","Zweirad","Velo","36","","","","","","0","öffentlicher Grund","POINT (2681063.8 1249151.2)"
"20015","vap20015","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2681087.2 1249190.6)"
"20014","vap20014","Zweirad","Velo","30","","","","","","0","öffentlicher Grund","POINT (2681177.5 1249255.1)"
"20013","vap20013","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2681225.5 1249193.8)"
"20012","vap20012","Zweirad","Velo","16","","","","","","0","öffentlicher Grund","POINT (2681098 1249215.9)"
"13124","vap13124","Zweirad","Velo","14","","","","","","0","öffentlicher Grund","POINT (2683028.2 1247600.2)"
"105011","vap105011","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2682782.5 1249407.4)"
