"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Baslerstrasse 145","","6","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Neumarkt (Migros Altstetten)","","10000431","","","","","","","","","","","","","","","","","ph10000431","","","","","","","","","","","","","","254","10000431","6","4","0","7","0","POINT (2679198.8 1249257.6)"
"","Nansenstrasse 21","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Neumarkt (Zentrum Oerlikon)","","10000432","","","","","","","","","","","","","","","","","ph10000432","","","","","","","","","","","","","","302","10000432","3","3","4","0","0","POINT (2683405.2 1251661.5)"
"","Siewerdtstrasse 10","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Nordhaus","","45","","","","","","","","","","","","","","","","","ph045","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/nordhaus.jsp?pid=nordhaus","184","45","2","0","13","4","0","POINT (2683686 1251843.5)"
"","Schiffbaustrasse 11","","4","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Novotel Zürich-City","","10000463","","","","","","","","","","","","","","","","","ph10000463","","","","","","","","","","","","","","93","10000463","4","0","0","0","0","POINT (2681443.5 1249242.8)"
"","Brown-Boveri-Strasse 2","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Octavo","","51","","","","","","","","","","","","","","","","","ph051","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/octavo.jsp?pid=octavo","121","51","2","0","0","0","0","POINT (2682853.2 1252000.4)"
"","Theaterstrasse 7","","6","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Opéra","","1532","","","","","","","","","","","","","","","","","ph1532","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/opera.jsp?pid=opera","297","1532","6","5","0","0","0","POINT (2683730 1246631)"
"","Förrlibuckstrasse 151","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","P West","","52","","","","","","","","","","","","","","","","","ph052","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/p_west.jsp?pid=p_west","1004","52","0","0","0","0","0","POINT (2680950.2 1249576.4)"
"","Gotthardstrasse 27","","7","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Park Hyatt","","50","","","","","","","","","","","","","","","","","ph050","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/park_hyatt.jsp?pid=park_hyatt","267","50","7","2","10","1","0","POINT (2682899.5 1246698)"
"","Seilergraben 74","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Parkgarage am Central","","27","","","","","","","","","","","","","","","","","ph027","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/central.jsp?pid=central","30","27","0","0","0","0","0","POINT (2683537.8 1247895.8)"
"","Sophie-Taeuber-Strasse 14","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Parkside","","62","","","","","","","","","","","","","","","","","ph062","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/parkside.jsp?pid=parkside","39","62","1","0","0","0","0","POINT (2683054.2 1251872.9)"
