objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,geometry,fixed_geometry,district_id
104676,vap104676,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2681713.5 1243261.9),POINT (47.33515615043315 8.519792601230535),2
104677,vap104677,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2681712.2 1243246.4),POINT (47.33501691214596 8.51977257755121),2
104696,vap104696,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2681467.2 1242689.6),POINT (47.33003963349628 8.516430174916239),2
105036,vap105036,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2683958.8 1250499.8),POINT (47.39996722406991 8.550853938684897),6
12801,vap12801,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682663.8 1249615.2),POINT (47.3921755424125 8.533537404788481),10
12802,vap12802,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2682190.2 1248746.6),POINT (47.38442317905378 8.527105632082296),5
12803,vap12803,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2682084.5 1248321.9),POINT (47.38061687251598 8.525628074628781),4
104864,vap104864,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2678924 1249749.8),POINT (47.39384474427598 8.484032121571422),9
104994,vap104994,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2681023.2 1252223.2),POINT (47.4158339888118 8.512282385909941),11
105000,vap105000,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2682777.8 1248287.2),POINT (47.38021806351848 8.534801483460518),4
105001,vap105001,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2682723.2 1248306.6),POINT (47.38039939225902 8.534082128707372),4
105003,vap105003,Zweirad,Beide,20,,,,,,0,öffentlicher Grund,POINT (2682769 1250351.2),POINT (47.39878141558915 8.535066838919152),6
105023,vap105023,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682060.5 1250323.5),POINT (47.39862095392106 8.525677452980002),10
3841,vap3841,Zweirad,Beide,48,,,,,,0,öffentlicher Grund,POINT (2683915.8 1246806),POINT (47.36675314554542 8.549591650758771),1
9284,vap9284,Zweirad,Beide,40,,,,,,0,öffentlicher Grund,POINT (2680782 1251362.4),POINT (47.40812217986272 8.508931016518568),10
104779,vap104779,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2680200 1246960.1),POINT (47.36860169949822 8.500431696723016),3
104410,vap104410,Zweirad,Beide,4,,,,,,0,öffentlicher Grund,POINT (2682604.5 1250201.9),POINT (47.39745936515918 8.532860411054608),6
104411,vap104411,Zweirad,Beide,20,,,,,,0,öffentlicher Grund,POINT (2682627 1250214),POINT (47.39756536210521 8.533160658290313),6
104432,vap104432,Zweirad,Beide,16,,,,,,0,öffentlicher Grund,POINT (2681758 1243790.1),POINT (47.33990100173454 8.520477656704395),2
104434,vap104434,Zweirad,Beide,24,,,,,,0,öffentlicher Grund,POINT (2681776.8 1243775.6),POINT (47.33976826470352 8.520723748081068),2
104481,vap104481,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682895.2 1251532.2),POINT (47.40938662276829 8.53695735169452),11
104540,vap104540,Zweirad,Beide,20,,,,,,0,öffentlicher Grund,POINT (2683134.5 1247000.2),POINT (47.36859868388751 8.539285395481379),1
104724,vap104724,Zweirad,Beide,25,,,,,,0,öffentlicher Grund,POINT (2681673.2 1248226.9),POINT (47.37981361395749 8.520164793295073),4
104778,vap104778,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2680182 1246954.8),POINT (47.36855622447391 8.500192465965954),3
104872,vap104872,Zweirad,Beide,12,,,,,weitere um die Ecke,0,öffentlicher Grund,POINT (2679472.5 1249614.4),POINT (47.39256109265357 8.491272489062855),9
104945,vap104945,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2683224.5 1251837.6),POINT (47.41209163060915 8.541376750203137),11
104947,vap104947,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2682953.5 1252080.4),POINT (47.41430939123175 8.537831443328292),11
8007,vap8007,Zweirad,Beide,13,,,,,Öffnungszeiten Friedhof beachten,0,öffentlicher Grund,POINT (2682870.5 1252865.1),POINT (47.42137684853792 8.536877279678283),11
8008,vap8008,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2683043.8 1253542.4),POINT (47.42744612691806 8.539299554631519),11
8009,vap8009,Zweirad,Beide,40,,,,,,0,öffentlicher Grund,POINT (2680997.5 1252538.4),POINT (47.41867183727588 8.511998999147341),11
8011,vap8011,Zweirad,Beide,3,,,,,,0,öffentlicher Grund,POINT (2680324.5 1252567.2),POINT (47.41901329283864 8.503086714046654),11
8012,vap8012,Zweirad,Beide,2,,,,,,0,öffentlicher Grund,POINT (2680246 1252629.1),POINT (47.41957955054283 8.502057673069833),11
9921,vap9921,Zweirad,Beide,18,,,,,,0,öffentlicher Grund,POINT (2682573.8 1248380.8),POINT (47.38108544078639 8.532117655760469),5
104478,vap104478,Zweirad,Beide,4,,,,,,0,öffentlicher Grund,POINT (2682786.5 1251582.8),POINT (47.40985535720071 8.535526672907832),11
104479,vap104479,Zweirad,Beide,20,,,,,,0,öffentlicher Grund,POINT (2682788 1251533.8),POINT (47.40941449795725 8.535537470214727),11
104480,vap104480,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682865.8 1251502),POINT (47.4091187260723 8.536562264511918),11
